"arm","rep","condition","method","n","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor"
"C",17,"mcar50","DIABLO",300,43,0.223000000000003,"",0.66310678852395,0.492795001094862,1,0.143333333333333,0.844404794820201,1.6265981230001,NA,0.66310678852395,0.492795001094862,1,1
"C",17,"mcar50","MOFA2",300,270,2.522,"",0.443017860409595,0.913353880307929,0.804485452820763,1,0.722324367912134,0.544675899481535,NA,0.509486225952665,0.77517174943249,1,1
"C",17,"mcar50","ImputeDIABLO",300,300,1.48,"",0.453485444902762,0.830288194387352,0.817360803465695,1,0.649983605606962,0.833835230254854,NA,0.707256131459869,0.428243821306879,1,1
"C",17,"mar","GRAMA",300,281,1.335,"",-0.0828097093302227,2.26937959028342,0.332899659273643,0.936666666666667,0.208509691075351,0.761228070332773,NA,0.264471117826715,1.3003707471322,1,1
"C",17,"mar","DIABLO",300,96,0.238,"",0.686239029522908,0.467359346554892,1,0.32,0.836793677747784,1.43395099590843,NA,0.686239029522908,0.467359346554892,1,1
"C",17,"mar","MOFA2",300,281,2.301,"",0.486076214278685,0.853042306091444,0.870879874621709,1,0.830007488067801,0.357649723736278,NA,0.604231017841855,0.649605689383888,1,1
"C",17,"mar","ImputeDIABLO",300,300,1.544,"",0.510838421472564,0.744517383075739,0.896694302055037,1,0.731340570270733,0.143252986517212,NA,0.71458647705051,0.413896925484402,1,1
"C",18,"complete","GRAMA",300,300,2.068,"",0.062185527590876,1.6929461039328,0.377913000178391,1,0.327218807157529,0.86845932101504,NA,0.062185527590876,1.6929461039328,0.377913000178391,1
"C",18,"complete","DIABLO",300,300,0.819999999999999,"",0.727193040649888,0.403009546214654,1,1,0.850826970281633,0.643968839885635,NA,0.727193040649888,0.403009546214654,1,1
"C",18,"complete","MOFA2",300,300,16.86,"",0.568125681125576,0.689933850375064,1,1,0.950427921600637,0.143015066406431,NA,0.568125681125576,0.689933850375064,1,1
"C",18,"mcar30","GRAMA",300,292,1.344,"",-0.169073530899436,2.52276583134396,0.2263025285967,0.973333333333333,0.157615614953047,1.19074538561739,NA,0.373212588518846,1.15964966798644,0.647440468868847,1
"C",18,"mcar30","DIABLO",300,99,0.257999999999999,"",0.689057977674437,0.4645630440271,1,0.33,0.791436668392105,0.975915286667997,NA,0.689057977674437,0.4645630440271,1,1
"C",18,"mcar30","MOFA2",300,292,2.226,"",0.553033958337886,0.694559958913367,0.934349476707491,1,0.86918478571095,0.610191820393087,NA,0.548448671798329,0.737943619645825,1,1
"C",18,"mcar30","ImputeDIABLO",300,300,1.593,"",0.558181135007642,0.647315463527808,0.942598639365233,1,0.746551270862472,0.588158410507345,NA,0.704511648452188,0.444511190628465,1,1
"C",18,"mcar50","GRAMA",300,270,1.281,"",-0.167172952348426,20.6232749942455,0.0809580151850419,0.9,0.0948777035790343,0.851986530082172,NA,0.304135918987027,1.84729829611929,0.630994902327772,1
"C",18,"mcar50","DIABLO",300,37,0.224,"",0.657707964917199,0.475364104085829,1,0.123333333333333,0.835172503643392,3.67872833707203,NA,0.657707964917199,0.475364104085829,1,1
"C",18,"mcar50","MOFA2",300,270,3.108,"",0.434613213999972,0.934310111721333,0.828095591852774,1,0.671416537126753,0.860223429676133,NA,0.526431360310204,0.723356268211735,1,1
