"arm","rep","condition","method","n","V","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor","ber","ber_anchor"
"A",1,"complete","GRAMA",300,2,300,102.463,"",0.792618404265714,0.357426391573313,1,1,0.132837322447009,1.25906676265694,NA,0.792618404265714,0.357426391573313,1,1,0.64,NA
"A",1,"complete","DIABLO",300,2,300,65.084,"",0.00554587329783893,3.07175546568754,0.177169816883436,1,0.391819820380347,0.722542456476756,NA,0.00554587329783893,3.07175546568754,0.177169816883436,1,0.676666666666667,NA
"A",1,"complete","MOFA2",300,2,300,11.969,"",-0.0334450109289086,4.71987192390395,0.110428995390048,1,0.682483735095809,0.575486315755566,NA,-0.0334450109289086,4.71987192390395,0.110428995390048,1,NA,NA
"A",1,"mcar30","GRAMA",300,2,300,21.553,"",0.161050661840632,2.07895418022059,0.302741372850954,1,0.0906934156663716,1.31023520927682,NA,0.785660478209905,0.429574229231978,1,1,0.691427853192559,NA
"A",1,"mcar30","DIABLO",300,2,145,44.322,"",0.0360202221785339,2.30317894227417,0.204755073421328,0.483333333333333,0.361215407202178,0.995424084300664,NA,0.0360202221785339,2.30317894227417,0.204755073421328,1,0.659030920060332,NA
"A",1,"mcar30","MOFA2",300,2,300,3.98400000000001,"",-0.0363948781195661,5.30411563642388,0.0556237515697949,1,0.352224123298701,1.07567329187024,NA,-0.0390962302249539,3.9997601085593,0.119489081200189,1,NA,NA
"A",1,"mcar30","ImputeDIABLO",300,2,300,3.405,"",0.00138819101827652,3.10449395487165,0.0603552260237654,1,0.221609033144408,0.91843032853676,NA,0.0196063968445352,2.86691954616293,0.103256872473266,1,NA,NA
"A",1,"mcar50","GRAMA",300,2,300,6.69999999999999,"",0.0219225593657551,5.30321834659118,0.108113030424733,1,0.0680242591596334,0.638731854879449,NA,0.674908331279543,0.587200444367567,1,1,0.770619235836627,NA
"A",1,"mcar50","DIABLO",300,2,77,34.957,"",0.0818689418977491,1.82013705454884,0.227443598360007,0.256666666666667,0.2725637809406,4.51394634369063,NA,0.0818689418977491,1.82013705454884,0.342673296406581,1,0.764328063241107,NA
"A",1,"mcar50","MOFA2",300,2,300,5.51800000000003,"",-0.0474459855708641,14.2933379308977,0.0198394040779852,1,0.219018579133575,1.1465914724139,NA,-0.0591211757364187,9.15774999975245,0.190890767821802,1,NA,NA
"A",1,"mcar50","ImputeDIABLO",300,2,300,2.81999999999999,"",-0.0149963067151805,3.01330345613771,0.0950847080560548,1,0.169145318621277,0.641343231199211,NA,-0.0108112136129891,2.42747416998541,0.17907176531897,1,NA,NA
"A",1,"mar","GRAMA",300,2,300,29.069,"",0.193483019990729,2.50331442429668,0.301080620103996,1,0.0616763798589472,0.961140165417617,NA,0.793404893468051,0.35441283937671,1,1,0.660270243666046,NA
"A",1,"mar","DIABLO",300,2,162,45.979,"",0.0741614592575288,2.11247210357785,0.233351546107597,0.54,0.393122368166021,2.27522337982503,NA,0.0741614592575288,2.11247210357785,0.233351546107597,1,0.751668673239138,NA
"A",1,"mar","MOFA2",300,2,300,3.88300000000004,"",-0.051625974229356,5.92339813397498,0.0422291373407751,1,0.412717730609596,2.19876883347609,NA,-0.0456847115147895,3.76343253280577,0.115727066499192,1,NA,NA
"A",1,"mar","ImputeDIABLO",300,2,300,3.584,"",0.00434818453753803,2.79503816605062,0.128772204865699,1,0.143531749759757,0.950009934837979,NA,0.0299209455728303,2.58932774474394,0.148374872457539,1,NA,NA
