"arm","rep","condition","method","n","V","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor","ber","ber_anchor"
"A",1,"complete","WOVEN",300,2,300,9.148,"",0.792618397960886,0.357426399791569,1,1,0.132837325512776,1.259066763543,NA,0.792618397960886,0.357426399791569,1,1,0.64,NA
"A",1,"complete","DIABLO",300,2,300,71.383,"",0.00554587329783893,3.07175546568754,0.177169816883436,1,0.391819820380347,0.722542456476756,NA,0.00554587329783893,3.07175546568754,0.177169816883436,1,0.676666666666667,NA
"A",1,"complete","MOFA2",300,2,300,17.957,"",-0.0334450109289087,4.71987192390394,0.110428995390048,1,0.682483735095808,0.575486315755565,NA,-0.0334450109289087,4.71987192390394,0.110428995390048,1,NA,NA
"A",1,"mcar30","WOVEN",300,2,300,5.58499999999999,"",0.161050661840628,2.07895418022074,0.302741372850954,1,0.0906934156663844,1.31023520927728,NA,0.785660478209908,0.429574229231985,1,1,0.67955002513826,NA
"A",1,"mcar30","DIABLO",300,2,145,47.642,"",0.0360202221785339,2.30317894227417,0.204755073421328,0.483333333333333,0.361215407202178,0.995424084300664,NA,0.0360202221785339,2.30317894227417,0.204755073421328,1,0.659030920060332,NA
"A",1,"mcar30","MOFA2",300,2,300,4.33500000000001,"",-0.0363948781195663,5.30411563642392,0.0498363710135266,1,0.352224123298701,1.07567329187024,NA,-0.039096230224954,3.9997601085593,0.119489081200189,1,NA,NA
"A",1,"mcar30","ImputeDIABLO",300,2,300,3.815,"",0.00138819101827652,3.10449395487165,0.0603552260237654,1,0.221609033144408,0.91843032853676,NA,0.0196063968445352,2.86691954616293,0.103256872473266,1,NA,NA
"A",1,"mcar50","WOVEN",300,2,300,4.78100000000001,"",0.0219225593657551,5.30321834659118,0.122067118018546,1,0.0680242591596334,0.638731854879448,NA,0.674908331279543,0.587200444367567,1,1,0.741156126482213,NA
"A",1,"mcar50","DIABLO",300,2,77,37.061,"",0.0818689418977491,1.82013705454884,0.227443598360007,0.256666666666667,0.2725637809406,4.51394634369063,NA,0.0818689418977491,1.82013705454884,0.227443598360007,1,0.764328063241107,NA
"A",1,"mcar50","MOFA2",300,2,300,6.63799999999998,"",-0.0474459855708642,14.2933379308976,0.0198394040779852,1,0.219018579133574,1.14659147241389,NA,-0.0591211757364186,9.15774999975245,0.190890767821802,1,NA,NA
"A",1,"mcar50","ImputeDIABLO",300,2,300,3.27599999999998,"",-0.0149963067151805,3.01330345613771,0.0950847080560548,1,0.169145318621277,0.641343231199211,NA,-0.0108112136129891,2.42747416998541,0.17907176531897,1,NA,NA
"A",1,"mar","WOVEN",300,2,300,6.44300000000001,"",0.193483019990603,2.50331442429798,0.26264809536057,1,0.0616763798589309,0.961140165418944,NA,0.793404893468053,0.354412839376714,1,1,0.661779905501795,NA
"A",1,"mar","DIABLO",300,2,162,50.145,"",0.0741614592575287,2.11247210357785,0.233351546107597,0.54,0.393122368166021,2.27522337982503,NA,0.0741614592575287,2.11247210357785,0.233351546107597,1,0.751668673239138,NA
"A",1,"mar","MOFA2",300,2,300,4.22899999999998,"",-0.0516259742293559,5.92339813397498,0.0422291373407751,1,0.412717730609596,2.19876883347609,NA,-0.0456847115147894,3.76343253280577,0.115727066499192,1,NA,NA
"A",1,"mar","ImputeDIABLO",300,2,300,3.89999999999998,"",0.00434818453753803,2.79503816605062,0.128772204865699,1,0.143531749759757,0.950009934837979,NA,0.0299209455728303,2.58932774474394,0.148374872457539,1,NA,NA
"A",2,"complete","WOVEN",300,2,300,11.701,"",0.875507384194583,0.247171764836121,1,1,0.104095472474052,1.56624296376748,NA,0.875507384194583,0.247171764836121,1,1,0.673333333333333,NA
"A",2,"complete","DIABLO",300,2,300,76.385,"",-0.0149687002829696,3.239221772187,0.180959156264067,1,0.477136724529242,1.29298653096494,NA,-0.0149687002829696,3.239221772187,0.215858214704298,1,0.58,NA
"A",2,"complete","MOFA2",300,2,300,17.288,"",-0.0411648660605389,5.95119039892365,0.173433948833652,1,0.664149082185285,0.331373979951386,NA,-0.0411648660605389,5.95119039892365,0.172225430083127,1,NA,NA
"A",2,"mcar30","WOVEN",300,2,300,6.845,"",0.157740052151045,2.49883004540186,0.165189930976789,1,0.062039823602837,1.7590509405789,NA,0.767442637100839,0.444329486306438,1,1,0.712824675324675,NA
"A",2,"mcar30","DIABLO",300,2,149,51.97,"",-0.00518583005214718,2.92210326296153,0.262043718979021,0.496666666666667,0.497883451617943,2.17920304553901,NA,-0.00518583005214718,2.92210326296153,0.268916529817651,1,0.707386363636364,NA
"A",2,"mcar30","MOFA2",300,2,300,6.834,"",-0.0302260802970903,7.2874566692037,0.116804669180262,1,0.366076723140864,0.75398655861907,NA,-0.0196069022750623,4.59462818552468,0.155204322550782,1,NA,NA
"A",2,"mcar30","ImputeDIABLO",300,2,300,4.364,"",0.00204994514253291,3.35266022013171,0.0636618279707491,1,0.225428104853799,1.66849823768487,NA,0.018255560769116,2.89914604332601,0.181145436730211,1,NA,NA
"A",2,"mcar50","WOVEN",300,2,300,5.96800000000002,"",0.0371408503081236,3.36279082792761,0.119080267649616,1,0.0705938062075087,1.51437378133327,NA,0.78251263712125,0.52134011383429,1,1,0.610853220006538,NA
"A",2,"mcar50","DIABLO",300,2,78,41.641,"",0.159281343993506,1.46847919420458,0.474203458200573,0.26,0.359484061201585,2.33853602693382,NA,0.159281343993506,1.46847919420458,0.474203458200573,1,0.635687043696197,NA
"A",2,"mcar50","MOFA2",300,2,300,7.446,"",-0.0447374826733688,9.22526445594113,0.06708484909495,1,0.27393861857128,1.52483107659118,NA,-0.0632250820064193,5.01267844506368,0.144594356825725,1,NA,NA
"A",2,"mcar50","ImputeDIABLO",300,2,300,3.41500000000002,"",-0.0196464152120148,3.02018237705468,0.135306111251019,1,0.17814308088875,1.61852927951676,NA,0.0309691831510078,2.56156122987021,0.25062176023306,1,NA,NA
"A",2,"mar","WOVEN",300,2,300,6.87700000000001,"",0.144571979343331,2.71454618479712,0.252441658009705,1,0.105659689280617,1.64154563042119,NA,0.737844546723205,0.431292530986448,1,1,0.668104418801013,NA
"A",2,"mar","DIABLO",300,2,143,51.441,"",0.0520371396637924,1.99834210785897,0.236711875385632,0.476666666666667,0.43872164469146,2.44353008224769,NA,0.0520371396637924,1.99834210785897,0.236711875385632,1,0.674043062200957,NA
"A",2,"mar","MOFA2",300,2,300,6.63800000000003,"",-0.0583051986429045,7.46423925715587,0.0734331871392262,1,0.322691828163601,1.59914199689945,NA,-0.031739344489689,3.71906455537204,0.166929390456972,1,NA,NA
"A",2,"mar","ImputeDIABLO",300,2,300,3.916,"",-0.0515008006889469,3.18785297028326,0.109124945045093,1,0.216249558212269,1.81538787416539,NA,-0.0409944986984113,2.81325659486794,0.142392615452185,1,NA,NA
"A",3,"complete","WOVEN",300,2,300,11.817,"",0.6710865201069,0.52192073719913,1,1,0.235139490551252,0.795631790968637,NA,0.6710865201069,0.52192073719913,1,1,0.693333333333333,NA
"A",3,"complete","DIABLO",300,2,300,77.353,"",0.00924509379275675,3.05626294924447,0.154120493625028,1,0.308072946971933,1.52607497629957,NA,0.00924509379275675,3.05626294924447,0.154120493625028,1,0.673333333333333,NA
"A",3,"complete","MOFA2",300,2,300,18.421,"",-0.0398914813302499,7.60876017658548,0.0349562390376942,1,0.643427737004885,0.470008764366703,NA,-0.0398914813302499,7.60876017658548,0.0349562390376942,1,NA,NA
"A",3,"mcar30","WOVEN",300,2,300,6.64700000000001,"",0.134677522514635,2.33608795987883,0.2396009053782,1,0.0871696257580973,1.06693052979571,NA,0.754008858668721,0.44258838525172,1,1,0.577751196172249,NA
"A",3,"mcar30","DIABLO",300,2,143,51.023,"",0.0338514213294131,2.21076799060191,0.22172223585368,0.476666666666667,0.350273232349381,1.45929584579419,NA,0.0338514213294131,2.21076799060191,0.22172223585368,1,0.72325225943647,NA
"A",3,"mcar30","MOFA2",300,2,300,10.658,"",-0.0425191219486878,6.98064119018562,0.0497743745286347,1,0.319581988950768,1.07730691034648,NA,-0.0626121431205411,6.24146802984971,0.101249985635665,1,NA,NA
"A",3,"mcar30","ImputeDIABLO",300,2,300,4.12,"",-0.0828210327200345,3.77373904087386,0.11260735399181,1,0.185951024620313,1.80364046829961,NA,-0.075539472754277,3.10738586695383,0.147951870623474,1,NA,NA
"A",3,"mcar50","WOVEN",300,2,300,5.23599999999999,"",0.00507039018716835,5.06642045701084,0.0809928131738897,1,0.0776748665120739,1.645398391482,NA,0.701249907473402,0.664442262674899,1,1,0.654761904761905,NA
"A",3,"mcar50","DIABLO",300,2,73,40.616,"",0.11433362227251,1.80746523902149,0.333419329745577,0.243333333333333,0.294016356488858,2.03298969925845,NA,0.11433362227251,1.80746523902149,0.333419329745577,1,0.771626984126984,NA
"A",3,"mcar50","MOFA2",300,2,300,10.918,"",-0.0380392451811975,11.3559346610621,0.0144567683783146,1,0.266266080345647,0.634810115732906,NA,-0.0855027765691292,5.29493602546256,0.0999585356207113,1,NA,NA
"A",3,"mcar50","ImputeDIABLO",300,2,300,3.61599999999999,"",-0.0261781301699285,2.69450125799442,0.1088063409013,1,0.221703964736389,0.477278792192397,NA,-0.00329201626733642,2.07204738239637,0.107329627279653,1,NA,NA
"A",3,"mar","WOVEN",300,2,300,6.209,"",0.15617753613971,2.98468811095199,0.320536730163842,1,0.0767393686056423,1.50135029495186,NA,0.779129018885595,0.400453756784922,1,1,0.667530174627632,NA
"A",3,"mar","DIABLO",300,2,157,55.081,"",0.0187378911577405,2.56806683151442,0.222668484806464,0.523333333333333,0.431950121159808,0.909761207781867,NA,0.0187378911577405,2.56806683151442,0.222668484806464,1,0.780659347714432,NA
