"condition","method","n_reps","sil_mean","sil_sd","ber_mean","ber_sd","nmi_mean","ess_mean"
"complete","DenseDIABLO",100,0.39108751368556,0.0135917720354205,0.762366666666667,0.0181173069900067,0.931331773166892,1
"mcar50","DenseDIABLO",100,0.437860370780671,0.0197275542828559,0.782585143726056,0.0323007538793595,0.991487858833632,0.2553
