"rep","arm","condition","method","sil","ber","nmi","n_used","ess","elapsed","error"
27,"D","mcar50","DenseDIABLO",0.425457714337286,0.762061403508772,0.964728522323134,81,0.27,2.538,NA
28,"D","complete","DenseDIABLO",0.397608183877903,0.79,0.908663986401103,300,1,6.043,NA
28,"D","mcar50","DenseDIABLO",0.477725169397759,0.781385281385281,1,77,0.256666666666667,2.435,NA
29,"D","complete","DenseDIABLO",0.380416367589541,0.776666666666667,0.925279965873537,300,1,5.746,NA
29,"D","mcar50","DenseDIABLO",0.429606644047498,0.758333333333333,1,87,0.29,2.509,NA
30,"D","complete","DenseDIABLO",0.37804519590559,0.806666666666667,0.961674091546457,300,1,5.96,NA
30,"D","mcar50","DenseDIABLO",0.416056961761231,0.806518218623482,1,96,0.32,2.821,NA
31,"D","complete","DenseDIABLO",0.404507404586367,0.75,0.879632497676712,300,1,5.939,NA
31,"D","mcar50","DenseDIABLO",0.450177106175029,0.823529411764706,1,71,0.236666666666667,2.44,NA
32,"D","complete","DenseDIABLO",0.402060723068225,0.75,0.920713595845689,300,1,6.135,NA
32,"D","mcar50","DenseDIABLO",0.432143905256629,0.796203796203796,1,63,0.21,2.169,NA
33,"D","complete","DenseDIABLO",0.401771868879767,0.756666666666667,0.964973598360303,300,1,5.924,NA
33,"D","mcar50","DenseDIABLO",0.423302970517416,0.761961722488038,1,84,0.28,2.559,NA
34,"D","complete","DenseDIABLO",0.369469493744824,0.75,0.90990348780652,300,1,6.154,NA
34,"D","mcar50","DenseDIABLO",0.428282749556372,0.757246376811594,1,78,0.26,2.403,NA
35,"D","complete","DenseDIABLO",0.386670013550678,0.78,0.965039972956862,300,1,6.132,NA
35,"D","mcar50","DenseDIABLO",0.436201799809283,0.758928571428571,1,73,0.243333333333333,2.682,NA
36,"D","complete","DenseDIABLO",0.382315726818543,0.773333333333333,0.932147431069036,300,1,5.682,NA
36,"D","mcar50","DenseDIABLO",0.429040245134964,0.75,1,83,0.276666666666667,2.393,NA
37,"D","complete","DenseDIABLO",0.393064350230547,0.75,0.933410557467551,300,1,5.653,NA
37,"D","mcar50","DenseDIABLO",0.437115760064956,0.843452380952381,1,84,0.28,2.438,NA
38,"D","complete","DenseDIABLO",0.401730081805725,0.75,0.944089327784964,300,1,5.843,NA
38,"D","mcar50","DenseDIABLO",0.437715952094832,0.740497076023392,1,76,0.253333333333333,2.34,NA
39,"D","complete","DenseDIABLO",0.385040746115234,0.75,0.934735886903305,300,1,5.728,NA
39,"D","mcar50","DenseDIABLO",0.415535976021091,0.773135964912281,1,79,0.263333333333333,2.329,NA
40,"D","complete","DenseDIABLO",0.391888017072412,0.75,0.882979459733681,300,1,5.733,NA
40,"D","mcar50","DenseDIABLO",0.429451022348212,0.772916666666667,1,79,0.263333333333333,2.222,NA
41,"D","complete","DenseDIABLO",0.367646637537106,0.75,0.936638704318064,300,1,5.668,NA
41,"D","mcar50","DenseDIABLO",0.409129410031859,0.8375,1,81,0.27,2.433,NA
42,"D","complete","DenseDIABLO",0.401948854770314,0.753333333333333,0.912561494325408,300,1,5.71,NA
42,"D","mcar50","DenseDIABLO",0.448597715074027,0.807539682539683,1,71,0.236666666666667,2.196,NA
43,"D","complete","DenseDIABLO",0.370304968478523,0.773333333333333,0.918263815266469,300,1,5.724,NA
43,"D","mcar50","DenseDIABLO",0.41979840878441,0.790089514066496,1,81,0.27,2.365,NA
44,"D","complete","DenseDIABLO",0.383493763349054,0.833333333333333,0.940209429587316,300,1,5.398,NA
44,"D","mcar50","DenseDIABLO",0.454880747307973,0.779166666666667,1,63,0.21,2.093,NA
45,"D","complete","DenseDIABLO",0.426859957561204,0.75,0.964973598360303,300,1,5.446,NA
45,"D","mcar50","DenseDIABLO",0.482350864268182,0.75,0.964336096861177,82,0.273333333333333,2.287,NA
46,"D","complete","DenseDIABLO",0.377343260975355,0.75,0.949529727013537,300,1,5.476,NA
46,"D","mcar50","DenseDIABLO",0.417459180401215,0.75,0.964312572910727,81,0.27,2.394,NA
47,"D","complete","DenseDIABLO",0.420504833601591,0.766666666666667,0.912114951853605,300,1,5.599,NA
