"rep","parameter","value","sil_anchor","elapsed","error"
1,"lambda",1e-04,0.792622097688204,0.864,""
1,"lambda",0.001,0.792618125290372,0.725000000000001,""
1,"lambda",0.005,0.792600190981257,0.702,""
1,"lambda",0.01,0.792577053984066,0.691,""
1,"lambda",0.05,0.792368727332806,0.708,""
1,"lambda",0.1,0.792062405178421,0.687,""
1,"lambda",0.5,0.788612329831704,0.688999999999999,""
1,"lambda",1,0.783062389183901,0.692,""
1,"gamma_y",0,-0.104173726185487,0.679,""
1,"gamma_y",0.1,0.792468676085206,0.693,""
1,"gamma_y",0.5,0.792570930570504,0.701000000000001,""
1,"gamma_y",1,0.792577053984066,0.711,""
1,"gamma_y",2,0.792579452241623,0.702999999999999,""
1,"gamma_y",5,0.792580710213722,0.731,""
1,"gamma_y",10,0.792581135386828,0.696,""
1,"gamma_y",20,0.792581371782147,0.704000000000001,""
1,"k_nn",3,0.735581835838325,0.601000000000001,""
1,"k_nn",5,0.717242540037352,0.702999999999999,""
1,"k_nn",10,0.792577053984066,0.698,""
1,"k_nn",15,0.845226127645974,0.609999999999999,""
1,"k_nn",25,0.849890259964241,0.606000000000002,""
1,"k_nn",50,0.823649442119588,0.698999999999998,""
2,"lambda",1e-04,0.884206041348515,0.843,""
2,"lambda",0.001,0.884204586766512,0.749,""
2,"lambda",0.005,0.884197000598387,0.766,""
2,"lambda",0.01,0.884185802187933,0.781000000000001,""
2,"lambda",0.05,0.884048400540278,0.785,""
2,"lambda",0.1,0.88379149122596,0.751,""
2,"lambda",0.5,0.880163352504922,0.782999999999999,""
2,"lambda",1,0.873989985853154,0.768000000000001,""
2,"gamma_y",0,-0.0888882821679179,0.766999999999999,""
2,"gamma_y",0.1,0.88394475104438,0.788,""
2,"gamma_y",0.5,0.884170444455571,0.796999999999999,""
2,"gamma_y",1,0.884185802187933,0.789999999999999,""
2,"gamma_y",2,0.884192008390017,0.803000000000001,""
2,"gamma_y",5,0.884195222535326,0.782,""
2,"gamma_y",10,0.884196223971184,0.745999999999999,""
2,"gamma_y",20,0.884196725328549,0.802999999999999,""
2,"k_nn",3,0.84222295762289,0.559999999999999,""
2,"k_nn",5,0.859819022792395,0.719999999999999,""
2,"k_nn",10,0.884185802187933,0.748999999999999,""
2,"k_nn",15,0.761358650607234,0.548999999999999,""
2,"k_nn",25,0.896889005097249,0.580000000000002,""
2,"k_nn",50,0.876085368531189,0.735999999999997,""
3,"lambda",1e-04,0.671087972684741,0.911,""
3,"lambda",0.001,0.671086613041554,0.789,""
3,"lambda",0.005,0.671080460643761,0.955,""
3,"lambda",0.01,0.671072358955162,0.802,""
3,"lambda",0.05,0.670994112700682,0.772,""
3,"lambda",0.1,0.670869303963858,0.795,""
3,"lambda",0.5,0.669206911517823,0.762,""
3,"lambda",1,0.666193869938726,0.818,""
3,"gamma_y",0,-0.060110059241714,0.746,""
3,"gamma_y",0.1,0.671033716936404,0.76,""
3,"gamma_y",0.5,0.671071541142653,0.771000000000001,""
3,"gamma_y",1,0.671072358955162,0.738,""
3,"gamma_y",2,0.671072374035001,0.778,""
3,"gamma_y",5,0.67107226279202,0.780000000000001,""
3,"gamma_y",10,0.671072217041417,0.783999999999999,""
3,"gamma_y",20,0.671072199969339,0.794,""
3,"k_nn",3,0.656332523457976,0.745999999999999,""
3,"k_nn",5,0.675905523947911,0.731000000000002,""
3,"k_nn",10,0.671072358955162,0.744999999999997,""
3,"k_nn",15,0.675900746136805,0.756,""
3,"k_nn",25,0.709561575338046,0.544,""
3,"k_nn",50,0.842049908608131,0.658000000000001,""
4,"lambda",1e-04,0.910861831006763,0.85,""
4,"lambda",0.001,0.910861047684357,0.784,""
4,"lambda",0.005,0.910856435293073,0.966,""
4,"lambda",0.01,0.910848409041529,0.762,""
4,"lambda",0.05,0.910722059035514,0.745,""
4,"lambda",0.1,0.910459396946314,0.777,""
4,"lambda",0.5,0.906525894685282,0.764,""
4,"lambda",1,0.899831998838796,0.798,""
4,"gamma_y",0,-0.129834202458936,0.765000000000001,""
4,"gamma_y",0.1,0.910604473942256,0.800999999999998,""
4,"gamma_y",0.5,0.910835751994688,0.795,""
4,"gamma_y",1,0.910848409041529,0.780000000000001,""
4,"gamma_y",2,0.910852767397202,0.818999999999999,""
4,"gamma_y",5,0.910854674567521,0.813000000000001,""
4,"gamma_y",10,0.910855195375281,0.798999999999999,""
4,"gamma_y",20,0.910855441997452,0.802999999999999,""
4,"k_nn",3,0.797967040188264,0.544,""
4,"k_nn",5,0.894205716238129,0.548999999999999,""
4,"k_nn",10,0.910848409041529,0.558,""
4,"k_nn",15,0.906925183885417,0.579999999999998,""
4,"k_nn",25,0.911916097599395,0.536999999999999,""
4,"k_nn",50,0.92955602367194,0.548999999999999,""
5,"lambda",1e-04,0.705336482757904,0.959,""
5,"lambda",0.001,0.705334991647653,0.834,""
5,"lambda",0.005,0.705328026406467,0.787,""
