"rep","arm","condition","method","sil","nmi","ber","n_used","ess","elapsed","error"
16,"A","complete","IntegrAO",-0.0458438593584233,0.0114720969822691,0.703333333333333,300,1,103.979,NA
16,"A","mcar30","IntegrAO",-0.0432681545582229,0.0165756140434433,0.673333333333333,300,1,60.645,NA
16,"A","mcar50","IntegrAO",-0.041192206739705,0.0279118666071533,0.703333333333333,300,1,66.213,NA
16,"A","mar","IntegrAO",-0.0555683843318774,0.0246818500374522,0.66,300,1,62.084,NA
17,"A","complete","IntegrAO",-0.0404126311463423,0.0129486236033148,0.703333333333333,300,1,80.538,NA
17,"A","mcar30","IntegrAO",-0.0344298963889844,0.0209885958818731,0.7,300,1,47.515,NA
17,"A","mcar50","IntegrAO",-0.0310904643436462,0.0208098750758925,0.723333333333333,300,1,94.129,NA
17,"A","mar","IntegrAO",-0.0402106105107802,0.0160882739571608,0.686666666666667,300,1,62.048,NA
18,"A","complete","IntegrAO",-0.0305145967522927,0.013492063441904,0.726666666666667,300,1,87.794,NA
18,"A","mcar30","IntegrAO",-0.0497330006607545,0.00981580459427238,0.733333333333333,300,1,65.184,NA
18,"A","mcar50","IntegrAO",-0.0390732469220242,0.0184778991452216,0.8,300,1,73.286,NA
18,"A","mar","IntegrAO",-0.0382822702639063,0.00704856512173234,0.75,300,1,68.433,NA
19,"A","complete","IntegrAO",-0.0560507014276595,0.0127042900693041,0.71,300,1,88.585,NA
19,"A","mcar30","IntegrAO",-0.0313975452186566,0.0342326747419403,0.673333333333333,300,1,65.88,NA
19,"A","mcar50","IntegrAO",-0.0392554738956969,0.0231657257704232,0.703333333333333,300,1,64.743,NA
19,"A","mar","IntegrAO",-0.0546407618506339,0.0246892521825136,0.716666666666667,300,1,77.524,NA
20,"A","complete","IntegrAO",-0.0476339176468573,0.00920555829456033,0.693333333333333,300,1,110.529,NA
20,"A","mcar30","IntegrAO",-0.0370568479059223,0.0196779648134845,0.723333333333333,300,1,65.249,NA
20,"A","mcar50","IntegrAO",-0.0503451325589379,0.0261833569082874,0.676666666666667,300,1,73.348,NA
20,"A","mar","IntegrAO",-0.0358845473458358,0.0169807014043666,0.76,300,1,67.578,NA
21,"A","complete","IntegrAO",-0.0492429319806925,0.0220229666174073,0.706666666666667,300,1,108.621,NA
21,"A","mcar30","IntegrAO",-0.0566277228955931,0.0246733837607126,0.693333333333333,300,1,79.802,NA
21,"A","mcar50","IntegrAO",-0.0568979115266257,0.0311986215964514,0.716666666666667,300,1,63.371,NA
21,"A","mar","IntegrAO",-0.0477909078253038,0.0339436910279115,0.66,300,1,79.287,NA
22,"A","complete","IntegrAO",-0.0512432124149651,0.0176127303903627,0.656666666666667,300,1,110.395,NA
22,"A","mcar30","IntegrAO",-0.0416835080310001,0.0122688515942544,0.73,300,1,69.821,NA
22,"A","mcar50","IntegrAO",-0.0305169256571874,0.00737378057698638,0.736666666666667,300,1,50.062,NA
22,"A","mar","IntegrAO",-0.0389785904902274,0.0111795523823952,0.713333333333333,300,1,79.88,NA
23,"A","complete","IntegrAO",-0.0496943062079365,0.0145489584302721,0.68,300,1,115.762,NA
23,"A","mcar30","IntegrAO",-0.0427832472921211,0.0202943696532264,0.756666666666667,300,1,71.778,NA
23,"A","mcar50","IntegrAO",-0.0533080928481623,0.0251750881195116,0.78,300,1,58.899,NA
23,"A","mar","IntegrAO",-0.0377405527141676,0.0322383112492484,0.713333333333333,300,1,77.192,NA
24,"A","complete","IntegrAO",-0.078023711378791,0.0297596676480823,0.683333333333333,300,1,82.273,NA
24,"A","mcar30","IntegrAO",-0.0557125337359377,0.0257193539416352,0.71,300,1,75.42,NA
24,"A","mcar50","IntegrAO",-0.0486774653742384,0.0387503032349768,0.67,300,1,73.912,NA
24,"A","mar","IntegrAO",-0.0531452050685215,0.0418677789870103,0.666666666666667,300,1,72.683,NA
25,"A","complete","IntegrAO",-0.044733392847065,0.00980516386795671,0.71,300,1,86.451,NA
25,"A","mcar30","IntegrAO",-0.0343276738366016,0.0084665333347973,0.643333333333333,300,1,66.257,NA
25,"A","mcar50","IntegrAO",-0.0391820710160295,0.0105648999104799,0.746666666666667,300,1,64.356,NA
25,"A","mar","IntegrAO",-0.0303696885842803,0.0154159786141389,0.73,300,1,70.015,NA
26,"A","complete","IntegrAO",-0.0454720223662506,0.0170842143094109,0.69,300,1,84.821,NA
26,"A","mcar30","IntegrAO",-0.0422000642179457,0.0216839517208283,0.713333333333333,300,1,64.79,NA
26,"A","mcar50","IntegrAO",-0.0486381279678456,0.0443729462599559,0.673333333333333,300,1,59.86,NA
26,"A","mar","IntegrAO",-0.0387358715546997,0.00658890098065855,0.696666666666667,300,1,71.696,NA
27,"A","complete","IntegrAO",-0.0736748180925547,0.0181408232328239,0.693333333333333,300,1,105.533,NA
27,"A","mcar30","IntegrAO",-0.0606537096961055,0.0272897746452569,0.696666666666667,300,1,71.2,NA
27,"A","mcar50","IntegrAO",-0.0540542186727466,0.0296279938443104,0.663333333333333,300,1,60.628,NA
27,"A","mar","IntegrAO",-0.049573261067698,0.0275166743702176,0.706666666666667,300,1,95.063,NA
28,"A","complete","IntegrAO",-0.0295768271318839,0.00294863336542746,0.676666666666667,300,1,79.338,NA
28,"A","mcar30","IntegrAO",-0.0337730992853735,0.00864181531742992,0.706666666666667,300,1,58.984,NA
28,"A","mcar50","IntegrAO",-0.0329262251233773,0.0155101146217232,0.736666666666667,300,1,74.017,NA
28,"A","mar","IntegrAO",-0.0387122667533514,0.00553174036904554,0.736666666666667,300,1,64.673,NA
29,"A","complete","IntegrAO",-0.0339681530930073,0.00705800182490167,0.656666666666667,300,1,85.292,NA
29,"A","mcar30","IntegrAO",-0.0401964739025332,0.023227006450449,0.693333333333333,300,1,77.586,NA
29,"A","mcar50","IntegrAO",-0.0415607241764249,0.0318678172903239,0.733333333333333,300,1,77.376,NA
29,"A","mar","IntegrAO",-0.0444164169772688,0.0302046807863024,0.686666666666667,300,1,76.377,NA
30,"A","complete","IntegrAO",-0.0549790793052325,0.0135407822545241,0.706666666666667,300,1,116.431,NA
30,"A","mcar30","IntegrAO",-0.0340133410458587,0.0213721032352799,0.723333333333333,300,1,80.667,NA
30,"A","mcar50","IntegrAO",-0.0541674282740083,0.00991413118640776,0.706666666666667,300,1,68.421,NA
30,"A","mar","IntegrAO",-0.0521781956040143,0.0197775554514681,0.696666666666667,300,1,108.9,NA
31,"A","complete","IntegrAO",-0.0527561206845073,0.013264548105317,0.623333333333333,300,1,112.351,NA
31,"A","mcar30","IntegrAO",-0.0413329092846826,0.0183024601783166,0.706666666666667,300,1,79.106,NA
31,"A","mcar50","IntegrAO",-0.0424823343722119,0.0370475425931251,0.72,300,1,68.045,NA
31,"A","mar","IntegrAO",-0.0508792513340546,0.0218980875420317,0.703333333333333,300,1,76.016,NA
32,"A","complete","IntegrAO",-0.0674658593260223,0.0128159594327159,0.693333333333333,300,1,129.987,NA
32,"A","mcar30","IntegrAO",-0.050319347920658,0.0170926472348198,0.7,300,1,100.673,NA
32,"A","mcar50","IntegrAO",-0.0593828083336398,0.027764946206397,0.703333333333333,300,1,54.841,NA
32,"A","mar","IntegrAO",-0.0619017440861458,0.0280814446439215,0.706666666666667,300,1,61.7310000000001,NA
33,"A","complete","IntegrAO",-0.06201638046262,0.0183678050880666,0.703333333333333,300,1,130.644,NA
33,"A","mcar30","IntegrAO",-0.0526500211210916,0.012094257181888,0.743333333333333,300,1,70.782,NA
33,"A","mcar50","IntegrAO",-0.0389258630686174,0.0223011150172004,0.71,300,1,52.94,NA
33,"A","mar","IntegrAO",-0.0502996155351349,0.0335518220367465,0.746666666666667,300,1,81.251,NA
34,"A","complete","IntegrAO",-0.0454570905571977,0.00790921799933775,0.706666666666667,300,1,96.916,NA
34,"A","mcar30","IntegrAO",-0.0419003209490516,0.0153764912745549,0.686666666666667,300,1,76.47,NA
34,"A","mcar50","IntegrAO",-0.0499019274010373,0.0398772375339112,0.656666666666667,300,1,68.112,NA
34,"A","mar","IntegrAO",-0.0368384861477741,0.0164664528653278,0.666666666666667,300,1,67.087,NA
35,"A","complete","IntegrAO",-0.0455196854984742,0.00881087987391361,0.69,300,1,85.742,NA
35,"A","mcar30","IntegrAO",-0.0496229003713376,0.0158880345802274,0.65,300,1,67.497,NA
35,"A","mcar50","IntegrAO",-0.0382106014368725,0.0130553565585572,0.706666666666667,300,1,61.659,NA
35,"A","mar","IntegrAO",-0.0539732797384855,0.019763079959588,0.65,300,1,74.713,NA
36,"A","complete","IntegrAO",-0.0503201755182069,0.00628088964554136,0.74,300,1,94.485,NA
36,"A","mcar30","IntegrAO",-0.0340944924962348,0.00834612754239316,0.75,300,1,62.213,NA
36,"A","mcar50","IntegrAO",-0.0344167747772814,0.00712324109833271,0.793333333333333,300,1,62.536,NA
36,"A","mar","IntegrAO",-0.0449964350017935,0.0296707023669074,0.69,300,1,49.037,NA
37,"A","complete","IntegrAO",-0.0344294030974144,0.00461958392669493,0.726666666666667,300,1,99.947,NA
